总部基地写字楼	南四环西路188号
四惠卓明大厦	朝阳四惠大厦东南100米
通港大厦	华远北街2号
CBD国际大厦	建外大街永安里甲16号
房地置业大厦	安外小营北四环东路101号
和乔大厦	光华路甲8号
鑫茂大厦	西城区金融街15号
左岸工社	北四环西路68号
华尊大厦写字楼	北三环中路甲29号院
北京佳隆国际大厦	朝阳公园南路
叶青大厦	望京经济技术开发区
锐创·五A商务SOHO	望京科技园区望京东路8号
中关村互联网金融中心	北京市海淀区丹棱区甲1号
朝来高科技产业园	来广营中街甲1号
凯晨世贸中心	复兴门内大街28号
798艺术园	朝阳区东五环7号
东升科技园·北领地	八达岭高速小营桥东1.5公里
东亿国际传媒产业园	北京市朝阳区高碑店高井文化产业园8号
中期大厦	光华路16号
竞园	广渠路3号(
京润大厦	阜外大街甲28号
新起点嘉园写字楼	西北三环苏州桥西北角万泉河路115号
招商国际金融中心	复兴门内大街156号
神州数码大厦	海淀区苏州街16号
新华保险大厦	长安街建国门桥东800米
金隅大厦	宣武门西大街129号
博泰国际写字楼	望京新兴产业区，广顺北大街与湖光北
国家会议中心	天辰东路7号
金宝大厦	金宝街89号
大新华航空大厦	东三环北路乙2号
中化大厦	复兴门外大街3号楼
静安中心	北三环东路8号
国航大厦	霄云路36号
华腾大厦	朝阳区劲松三区甲302号
海泰大厦	海淀区北四环中路229号
丰融国际中心	太平桥大街金融街核心区
大恒科技大厦	北京市海淀区苏州街3号
星源国际写字楼	广顺北大街 彩虹桥往东20米
物华大厦写字楼	西城区车公庄大街甲4号
汇智大厦	清河南镇24号院
宝钢大厦	长安街建国门桥东800米
人济大厦	京顺路101号(邮编：
万豪国际写字楼	东城区建国门南大街7号
尚8里文化创意园	四惠东地铁站北200米
北京京报新闻大厦	东城区建国门内大街26号
中外交流大厦	中关村南大街52号
海淀文化艺术大厦	中关村大街1号
中国人寿中心	金融大街17号
华通大厦	车公庄西路甲19号
光华创业园	安宁庄东路18号
福码大厦	广顺北大街33号
中国外文大厦写字楼	西三环北路89号 
宏源大厦写字楼	朝阳区酒仙桥路甲4号
华龙大厦写字楼	马甸桥东北角
文津国际酒店	中关村东路一号清华科技园A02地块
中粮广场	建国门内大街8号
融创动力产业园	广顺桥往北100米
西屋国际写字楼	苏州街图书城南侧400米
尚8文化创意产业园	朝阳区郎家园8号北京市电线电缆总厂内
万柳写字楼	苏州桥西500米
豪威大厦	北太平庄路25号
高德大厦	花园东路10号 
绿创大厦	海淀区中关村苏州街1号绿创大厦
雍贵中心	广渠门内大街43号
丰树大厦	建国路108号
洛娃大厦	望京利泽中园二区203号
量子芯座大厦	海淀区知春路27号
奥林佳泰大厦	北京朝阳区林萃路与科荟路交汇处西南
安贞大厦	北三环路内安贞桥东南侧
久凌大厦	西三环北路21号
京南世纪科技园	地铁四号线新宫站
金泰大厦	西坝河南路1号
航天精密大厦写字楼	海淀南路30号
五矿大厦	安慧里四区15号
玉泉静芯园	四季青玉泉山路西25号
益园文化创意产业基地	海淀区四季青杏石口65号
润世中心	麦子店安家楼美国大使馆
盛世龙源文化创意园	朝阳高碑店乡西店
凯泰公寓写字楼	东四环慈云寺桥
盈泰商务中心	金融大街8号
彩虹大厦	上地信息路11号
数字传媒大厦	海淀区信息路7号
汇融国际写字楼	莲花池东路会城门桥西南角
易亨大厦	北三环东路28号
京粮大厦	朝阳区东三环中路16号
润坤大厦	朝阳区广渠路与东五环交界处
北京外经贸大厦	阜成门外大街22号
博泰大厦	望京广顺北大街
玉泉慧谷园	北京市海淀区闵庄路3号
金城中心写字楼	方庄芳群园四区22号
四川大厦	阜外大街1号
国英1号	西直门内南小街国英园1号楼
第五广场	东四十条桥西南角
伦洋大厦	北三环中路6号
瑞晶创投产业园	北路庄园西路一号
京泰大厦写字楼	建国门外大街24号
华彩大厦	望京广顺北大街16号
大成大厦	北京市西城区宣武门西大街甲127号
通广大厦	农展馆南路路口
环星大厦	花园北路14号
海格国际大厦	宣武门外大街92号
龙源文化创意园	高碑店乡西店1110#、1112#
郎园Vintage	通惠河北路郎家园6号
莱锦TOWN	八里庄东里1号
中科电大厦	北沙滩甲一号
金泰国益大厦	朝阳北路与青年路交汇处
中航广场	北三环西路43号
恒华国际写字楼	月坛北街26号
普天大厦	中关村西区科技广场内
理工科技大厦	中关村南大街9号
中纺大厦	建国门大街19号
雨霖大厦	向军南里二巷甲5号
渔阳大厦	小关北里甲2号
浙江大厦	安贞西里三区26号
恒兴大厦写字楼	中关村东路89号
锦裕恒昌广场	朝阳区四惠东地铁站口
CEC中电发展大厦	三元桥霞光里9号
汉王大厦	中关村软件园05号
光明大厦	朝阳区亮马桥路42号
京辰大厦	南沙滩甲一号
北京理想大厦写字楼	海淀剧院东侧知春路111号
太平洋保险大厦	太平桥大街丰盛胡同24号
汇宾大厦	北辰东路8号
泰兴大厦写字楼	花园东路11号
万和大厦	海淀志新路二里庄35号
华普国际大厦	朝外大街19号
鸿懋商务大厦	来广营乡红军营路甲3号
京仪科技大厦	大钟寺东路9号
四惠国投尚科大厦	惠河南街1111号
里外里	阜通西大街和广顺北大街交叉口
和盛大厦	北京市海淀区中关村大街32号
电子城科技大厦	北京市朝阳区酒仙桥路甲12号
四方大厦写字楼	朝阳亚运村小营路
金基业大厦	胜古中路2号院5号楼
浦项中心	北京市朝阳区望京宏泰东街
怡和阳光大厦	朝阳区东土城路12号
上地数码科技广场	上地9街9号
加利大厦写字楼	亚运村北苑路180号
雅士大厦	北五环红军营路22号
国恒基业大厦	北土城西路7号
国门大厦	左家庄1号
信义大厦	安定门外大街1号
太阳天地商务中心	方庄芳群园三区11号楼太阳天地
泰康国际大厦写字楼	金融街武定候街2号
富力盛悦居写字楼	南四环肖村桥南小红门路与东马路交汇
中航科技大厦	知春路56号
瑞普电子大厦	三元桥东北角
甘家口大厦	三里河路17号
数字山谷	海淀区中关村软件园一期
联信国际大厦	北京市朝阳区四惠地铁北侧
现代汽车大厦	霄云路38号
宝盛里写字楼	清河桥东滨河路4号
天元晶汇	信息路甲8号
电通时代广场	朝阳区酒仙桥北路7号
骏马百特大厦	中关村东路中科院自动化研究院附近
澳门中心	王府井东街8号
派顿酒店	万柳中路和泉宗路
天创世缘写字楼	大屯路甲21号慧中里C区内
丰台神州科技园	北京市丰台区南四环西路巴庄子139号
文博大厦	万寿西街2号
瑞普大厦	红军营南路
京果商厦写字楼	北京北三环大钟寺四道口路2号
西单大悦城写字楼	西单北大街131号
东区国际商住公寓	朝阳区四惠慈云寺桥
京朝大厦	农展馆南路5号
神舟大厦	中关村南大街31号
冠海大厦	海淀区马甸路2号
领行国际中心写字楼	广渠门桥西南角
上地信息大厦	上地信息路2号
博泰嘉华	朝阳区望京利泽东园308号
德胜置业	北三环马甸桥东南黄寺大街
中间建筑写字楼	杏石口路50号
天元网络大厦	中关村软件园二期南侧
中软大厦	联想桥南第2个红绿灯西北
中国蓝星大厦	北三环东路19号
福道大厦	上地信息产业基地开拓路11号
唯实大厦	学院路37号
大成广场	宣武门西大街28号
安立写字楼	安立路66号
坤讯大厦	海淀知春路9号
嘉捷BOX企业汇	北京经济技术开发区经海四路25号院
润都大厦	北京市丰台区方庄南路71号润都大厦
中国有色大厦	朝阳区安定路10号
同源大厦	海淀区清河三街95号 R06;
永丰产业基地	永丰产业基地丰惠中路7号
藏药浴大厦	北京朝阳区北四环东路133号
国图文化大厦	西三环北路花园桥路口西北角
民生人寿大厦	东三环京广桥东北角
世通国际大厦	地铁八通线双桥站
尚8国际广告园	北京市朝阳区下甸甲3号院
天银大厦	西城区复兴门南大街2号
北斗星通大厦	八达岭高速北5公里
雅美科技园	上地桥东安宁庄西三条
中国数码港	望京北路1号
东辰民族艺术大厦	朝阳区四惠高碑店文化新大街华声天桥
吉安大厦	学院南路68号
大象投资大厦	东城区北二环滨河路
新怡商务楼	新世界商场西侧15米万怡酒店对过
751时尚设计广场	北京市朝阳区酒仙桥路4号
北软双新科创园	北京市海淀区四季青镇北辛庄
湘西大厦	北京市西城区太平桥大街111号
北岸8号	海淀芳清园8号林翠桥北
华腾世纪总部公园	北京市朝阳区东八里庄陈家林2号
红点文化园	广渠路家乐福，劲松口腔南50米
华荣公寓	西城区金融街华荣公寓
亿德星辉商务楼	北京市海淀区万泉河路
巨鸿大厦	空港经济开发区B区安庆大街
东四商业综合楼	东四北大街528号
鸿基大厦	东中街46号
雍和别墅写字楼	安定门内国子监箭厂胡同22号
佳泰商务中心	百子湾果木厂南路1号楼
